accuracy,precision,recall,f1,tn,fp,fn,tp,n,threshold
0.7551546391752577,0.6868686868686869,0.9902912621359223,0.8111332007952287,89,93,2,204,388,0.3
0.7654639175257731,0.697594501718213,0.9854368932038835,0.8169014084507042,94,88,3,203,388,0.31
0.7654639175257731,0.698961937716263,0.9805825242718447,0.8161616161616162,95,87,4,202,388,0.32
0.770618556701031,0.7038327526132404,0.9805825242718447,0.8194726166328601,97,85,4,202,388,0.33
0.7731958762886598,0.7077464788732394,0.9757281553398058,0.8204081632653061,99,83,5,201,388,0.34
0.7757731958762887,0.7117437722419929,0.970873786407767,0.8213552361396304,101,81,6,200,388,0.35
0.7783505154639175,0.7158273381294964,0.9660194174757282,0.8223140495867769,103,79,7,199,388,0.36
0.7757731958762887,0.7163636363636363,0.9563106796116505,0.8191268191268192,104,78,9,197,388,0.37
0.770618556701031,0.7174721189591078,0.9368932038834952,0.8126315789473684,106,76,13,193,388,0.38
0.770618556701031,0.7191011235955056,0.9320388349514563,0.8118393234672304,107,75,14,192,388,0.39
0.7757731958762887,0.7279693486590039,0.9223300970873787,0.8137044967880086,111,71,16,190,388,0.4
0.7809278350515464,0.7429718875502008,0.8980582524271845,0.8131868131868132,118,64,21,185,388,0.41
0.788659793814433,0.7583333333333333,0.883495145631068,0.8161434977578476,124,58,24,182,388,0.42
0.7809278350515464,0.7574468085106383,0.8640776699029126,0.8072562358276644,125,57,28,178,388,0.43
0.7835051546391752,0.7652173913043478,0.8543689320388349,0.8073394495412844,128,54,30,176,388,0.44
0.788659793814433,0.7767857142857143,0.8446601941747572,0.8093023255813954,132,50,32,174,388,0.45
0.7835051546391752,0.7824074074074074,0.8203883495145631,0.8009478672985783,135,47,37,169,388,0.46
0.788659793814433,0.7897196261682243,0.8203883495145631,0.8047619047619048,137,45,37,169,388,0.47
0.7963917525773195,0.8009478672985783,0.8203883495145631,0.8105515587529976,140,42,37,169,388,0.48
0.7989690721649485,0.8137254901960784,0.8058252427184466,0.8097560975609757,144,38,40,166,388,0.49
0.8015463917525774,0.8241206030150754,0.7961165048543689,0.8098765432098766,147,35,42,164,388,0.5
0.7963917525773195,0.8324607329842932,0.7718446601941747,0.801007556675063,150,32,47,159,388,0.51
0.7989690721649485,0.8440860215053764,0.7621359223300971,0.8010204081632653,153,29,49,157,388,0.52
0.7912371134020618,0.8491620111731844,0.7378640776699029,0.7896103896103897,155,27,54,152,388,0.53
0.7860824742268041,0.847457627118644,0.7281553398058253,0.783289817232376,155,27,56,150,388,0.54
0.7809278350515464,0.8497109826589595,0.7135922330097088,0.7757255936675461,156,26,59,147,388,0.55
0.7783505154639175,0.8614457831325302,0.6941747572815534,0.7688172043010753,159,23,63,143,388,0.56
0.770618556701031,0.8588957055214724,0.6796116504854369,0.7588075880758808,159,23,66,140,388,0.57
0.7680412371134021,0.8625,0.6699029126213593,0.7540983606557377,160,22,68,138,388,0.58
0.7757731958762887,0.8789808917197452,0.6699029126213593,0.7603305785123967,163,19,68,138,388,0.59
0.7731958762886598,0.8933333333333333,0.6504854368932039,0.7528089887640449,166,16,72,134,388,0.6
0.7680412371134021,0.8918918918918919,0.6407766990291263,0.7457627118644068,166,16,74,132,388,0.61
0.7628865979381443,0.8958333333333334,0.6262135922330098,0.7371428571428571,167,15,77,129,388,0.62
0.7628865979381443,0.9014084507042254,0.6213592233009708,0.735632183908046,168,14,78,128,388,0.63
0.7603092783505154,0.900709219858156,0.616504854368932,0.7319884726224783,168,14,79,127,388,0.64
0.7551546391752577,0.9051094890510949,0.6019417475728155,0.7230320699708455,169,13,82,124,388,0.65
0.7525773195876289,0.9104477611940298,0.5922330097087378,0.7176470588235294,170,12,84,122,388,0.66
0.7577319587628866,0.9242424242424242,0.5922330097087378,0.7218934911242604,172,10,84,122,388,0.67
0.7525773195876289,0.9296875,0.5776699029126213,0.7125748502994012,173,9,87,119,388,0.68
0.75,0.936,0.5679611650485437,0.7069486404833837,174,8,89,117,388,0.69
0.7474226804123711,0.9426229508196722,0.558252427184466,0.7012195121951219,175,7,91,115,388,0.7
